"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"3235","Drive//Shaft","Nov 30, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Spotted Zebra Software LLC","Spotted Zebra Software LLC"
"3239","Roxy Raccoon's Pinball Panic","Mar 15, 2022","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Sinomod Studios","Sinomod Studios"
"3244","Dodge It! Online","Jan 24, 2023","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","samuel crevier","samuel crevier"
"3258","Most Correct Football Simulator","May 21, 2019","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Kiddy","Kiddy"
"3260","Prop Hunt","Mar 26, 2021","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","HorseGames","HorseGames"
"3277","Club Manager 2016","Nov 19, 2015","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","BigBlaze Games","2tainment GmbH"
"3303","Wordle 4","Dec 1, 2020","$0.39","N/A (N/A)","20,000 .. 50,000","00:01 (00:00)","PreoNus Games","Gigantum Games"
"3304","Moto Racer Collection","Nov 30, 2011","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Microids","Microids"
"3305","Resort Boss: Golf","Feb 14, 2019","$12.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Gus Martin","Excalibur Publishing"
"3319","TERRORHYTHM (TRRT) - Rhythm driven action beat 'em up!","Oct 26, 2018","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","EvilCoGames","EvilCoGames"
"3321","MXGP2 - The Official Motocross Videogame Compact","Sep 8, 2016","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"3329","Crazy Pixel Streaker","Mar 2, 2016","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Lubiterum","Plug In Digital"
"3354","River City Melee : Battle Royal Special","Sep 29, 2017","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Arc System Works","H2 Interactive Co., Ltd."
"3357","Sportsfriends","Dec 19, 2014","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Die Gute Fabrik","Die Gute Fabrik"
"3359","Challenge Speedball","Jan 13, 2021","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Bucksoft91","Bucksoft91"
"3367","Crazy Fishing","May 25, 2017","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Mana Wings","Mana Wings"
"3369","Hyper Gunsport","Dec 22, 2022","$24.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Necrosoft Games, Mystic Systems","Necrosoft Games, Mystic Systems"
"3370","Dubstep Abasralsa","May 30, 2018","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Dayn","Narko Games"
"3371","SWORDY","Jul 21, 2016","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Frogshark","Frogshark"
"3372","Skater 2D","Nov 2, 2016","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Mihai Morosanu","Mihai Morosanu"
"3377","VR SUPER SPORTS","Mar 13, 2017","$12.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","SAT-BOX","SAT-BOX"
"3392","Shred! Remastered","Jul 8, 2015","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","ASBO Interactive","ASBO Interactive"
"3394","Dungeon Golf","Nov 17, 2023","$16.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ant Workshop Ltd","Ant Workshop Ltd"
"3400","BASEBALL STARS 2","Apr 27, 2016","$2.39","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","SNK CORPORATION, Dotemu","SNK CORPORATION"
"3404","Planetoid Pioneers Online","Jul 11, 2019","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Data Realms","Data Realms"
"3408","GeneRally 2","May 30, 2023","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Curious Chicken Games","Curious Chicken Games"
"3411","Score a goal 2 (Physical football)","Mar 3, 2018","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","BulatHard","BulatHard"
"3414","Wrestling Revolution 2D","Jul 4, 2012","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","MDickie","MDickie"
"3422","Hyperun","Jul 11, 2017","$4.79","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Uki Uki Lab, Concrete Games","Uki Uki Lab"
"3423","Taekwondo Grand Prix","Oct 9, 2018","$11.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Hello There Games","Hello There Games"
"3424","Candy Smash VR","Jul 26, 2016","$0.49","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Wadup Games","Conglomerate 5"
"3426","Ganbare! Super Strikers","Jul 26, 2018","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","rese","rese"
"3430","Offroad Truck Simulator: Heavy Duty Challenge","Sep 14, 2023","$29.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Nano Games","Aerosoft GmbH"
"3431","BattleTrucks","Mar 1, 2017","$0.49","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","BattleGames","Conglomerate 5"
"3437","AFL Evolution","Jul 20, 2017","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Wicked Witch","Tru Blu Games"
"3443","Village Bus Driver Simulator","Oct 25, 2019","$0.59","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","A Nostru","My Way Games"
"3445","Aim Trainer Pro","Jan 25, 2018","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Dan","Dan"
"3447","Speedway Challenge 2023","May 29, 2023","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Artur Berkowski Berobasket","Artur Berkowski Berobasket"
"3452","MUD - FIM Motocross World Championship","Feb 26, 2013","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"3458","Urban Trial Playground","Apr 5, 2019","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Tate Multimedia, Teyon","Tate Multimedia"
"3464","Big Buck Hunter Arcade","Oct 25, 2016","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","GameMill Entertainment","GameMill Entertainment"
"3465","PaintballX","Mar 3, 2022","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","KMHgames","KMHgames"
"3471","Electro Ride: The Neon Racing","Jul 11, 2020","$12.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Sylwester Osik","Garage 5, Kurki.games"
"3478","Metal Drift","Oct 22, 2009","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Black Jacket Studios","Black Jacket Studios"
"3481","Oneteam Soccer","Jul 23, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Yamauchi_games","Yamauchi_games"
"3484","Solitaire Beach Season","Oct 10, 2016","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Creobit","8Floor"
"3486","Pro Player Life","Oct 23, 2020","$1.49","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","BloodBrothers Studios","BloodBrothers Studios"
"3488","Ultra Space Battle Brawl","Oct 4, 2018","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Mojiken","Toge Productions"
"3495","Gladiator Manager","Jan 28, 2021","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Eternity Games","Eternity Games"
"3497","Axis Football 2018","Sep 14, 2018","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Axis Games","Axis Games"
"3503","Robot Arena III","Jun 20, 2016","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Gabriel Interactive","Octopus Tree"
"3508","KAOS SurVival","Aug 1, 2022","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Agostinho Dias, Ricardo Reis","Shark3D Studio"
"3511","TableTop Soccer","Apr 22, 2016","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Dancing Developers","Dancing Developers"
"3513","Mosaics Galore","Jul 27, 2018","$0.74","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Creobit","8Floor"
"3520","Quantum Rush Champions","Dec 4, 2014","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","GameArt Studio GmbH","GameArt Studio GmbH"
"3526","MadOut Open City","Dec 18, 2015","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","MadOut Games","MadOut Games"
"3530","Cinemaware Anthology: 1986-1991","Nov 14, 2014","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Cinemaware","Starbreeze Publishing AB"
"3535","Rainbow Reactor","Jan 15, 2019","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Tunermaxx Media GmbH, Muikkumedia Oy","Tunermaxx Media GmbH"
"3543","Fat Prisoner Simulator 3","Jan 7, 2021","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Kiddy","Kiddy"
"3546","Super Soccer Blast","Jun 19, 2020","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Unfinished Pixel","Unfinished Pixel"
"3559","Infinite Minigolf","Jul 25, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Zen Studios","Zen Studios"
"3566","Free Running","Apr 5, 2007","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Rebellion","Rebellion"
"3568","Psebay","Jul 12, 2017","$12.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Eugeny Butakov","Eugeny Butakov"
"3569","Perfect Partner","Jun 29, 2023","$8.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","RD Studio","RD Studio"
"3573","Wonderputt Forever","Dec 2, 2022","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Damp Gnat","Rogue Games, Inc."
"3574","ClusterPuck 99","Jan 23, 2015","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","PHL Collective","PHL Collective"
"3579","Fat Prisoner Simulator 2","Jun 12, 2019","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Kiddy","Kiddy"
"3582","DvDrum, Ultimate Drum Simulator!","Feb 9, 2017","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","DarkTigerDevelop","DarkTigerDevelop"
"3583","Handball 17","Nov 15, 2016","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Eko Software","Nacon"
"3592","World of Mixed Martial Arts 3","Mar 19, 2015","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Grey Dog Software","Viva Media"
"3593","Axis Football 2017","Aug 16, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Axis Games","Axis Games"
"3597","RevolVR 3","Feb 22, 2021","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Never Bored","Never Bored"
"3601","Wordle 2","Aug 31, 2020","$0.39","N/A (N/A)","20,000 .. 50,000","00:01 (00:00)","PreoNus Games","Gigantum Games"
"3608","Hello Kitty and Sanrio Friends Racing","Jul 9, 2015","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Scarab Entertainment","Scarab Entertainment"
"3610","MXGP - The Official Motocross Videogame Compact","Dec 3, 2014","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"3616","CRAZY DRIVER","Aug 25, 2019","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","SRS Games","SRS Games"
"3621","Basketball Club Story","Apr 9, 2023","$8.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd"
"3637","Foosball - Street Edition","Apr 16, 2014","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Yuisy, Exkee","Yuisy"
"3638","100ft Robot Golf","Mar 16, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","No Goblin","No Goblin"
"3642","Pro Wrestling X","Nov 18, 2014","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Wrestling Gamers United","Wrestling Gamers United"
"3645","Tee Time Golf","Aug 31, 2018","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Barkers Crest Studio LLC","Barkers Crest Studio LLC"
"3650","Speed Stars","Dec 16, 2020","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Luke Doukakis","Luke Doukakis"
"3658","Rocket Boots Mania","Jan 23, 2025","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Contra Concept","Contra Concept"
"3666","PBA Pro Bowling","Oct 23, 2019","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","FarSight Studios","FarSight Studios"
"3673","Tennis World Tour 2","Sep 24, 2020","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Big Ant Studios","Nacon"
"3674","Cranks and Goggles","Dec 21, 2016","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Play Native Entertainment","Play Native Entertainment"
"3675","Sword Master VR","Sep 23, 2016","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Master Indie","Master Indie"
"3681","Rugby League Live 3","Sep 29, 2015","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Big Ant Studios","Big Ant Studios (Steam), Tru Blu Games"
"3686","Erophone:Re","May 26, 2023","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","CreamCatGame","CreamCatGame"
"3693","Wordle 3","Oct 6, 2020","$0.39","N/A (N/A)","20,000 .. 50,000","00:01 (00:00)","PreoNus Games","Gigantum Games"
"3694","Sky Racket","Oct 22, 2019","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Double Dash Studios","Double Dash Studios"
"3698","Don Bradman Cricket 17","Jan 16, 2017","$49.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Big Ant Studios","Big Ant Studios"
"3706","Cheap Golf","Nov 5, 2018","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Pixeljam","Pixeljam"
"3711","GOAL! The Club Manager","Nov 2, 2022","$29.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","2tainment","2tainment"
"3719","Hot Shot Burn","Jan 17, 2020","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Artifex Mundi","Artifex Mundi"
"3726","Probably Archery","Feb 6, 2014","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","South East Games","South East Games"
"3727","Gym Simulator","Nov 17, 2018","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Schwarz Games","Kavkaz Sila Games"
"3731","Score a goal (Physical football)","Dec 28, 2016","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","BulatHard","BulatHard"
"3733","Shred! 2 - ft Sam Pilgrim","Dec 24, 2018","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","ASBO Interactive","ASBO Interactive Ltd"
"3736","Offroad Mechanic Simulator","Jul 24, 2023","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Image Power S.A., GameFormatic S.A.","Image Power S.A., PlayWay S.A., HeartBeat Games"
"3737","Rugby League Live 4","Sep 12, 2017","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Big Ant Studios","Tru Blu Games"
"3738","Volleyball Unbound - Pro Beach Volleyball","Dec 16, 2016","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Great Boolean","Great Boolean"
"3739","Holodance","Feb 28, 2020","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","narayana games UG","narayana games UG"
"3741","Pixel Puzzles Junior Jigsaw","Feb 17, 2017","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Pixel Puzzles","Pixel Puzzles"
"3744","International Basketball Manager 22","Dec 16, 2021","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","UPLAY Basketball","UPLAY Online"
"3747","Duck Life: Retro Pack","May 11, 2015","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Wix Games","MoFunZone Inc."
"3748","Soccer Player Simulator","Mar 25, 2019","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Kiddy","Kiddy"
"3753","Pure Chess Grandmaster Edition","Sep 9, 2016","$15.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ripstone","Ripstone"
"3754","AFL 23","May 3, 2023","$59.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Big Ant Studios","Nacon"
"3758","Death Stair","Aug 16, 2016","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Fun Sponge Games","Missing Link Games"
"3760","Snooker Nation Championship","Apr 27, 2016","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Cherry Pop Games","Cherry Pop Games"
"3765","Ignition","Jan 1, 1997","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Unique Development Studios AB","Interplay Entertainment Corp."
"3771","DUCATI - 90th Anniversary","Jun 9, 2016","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"3773","Wand Wars","Apr 13, 2016","$11.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Moonradish Inc.","Moonradish Inc."
"3775","Drink More Glurp","Aug 6, 2020","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","CATASTROPHIC_OVERLOAD","Yogscast Games"
"3777","My Riding Stables: Life with Horses","Mar 27, 2014","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Sproing","familyplay, Markt+Technik Verlag"
"3784","NASCAR 21: Ignition","Oct 27, 2021","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Motorsport Games","Motorsport Games"
"3785","Mountain Taxi Driver","Sep 13, 2019","$0.59","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","A Nostru","My Way Games"
"3788","OhShape","Dec 13, 2019","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Odders Lab","Odders Lab"
"3790","Space Junkies","Mar 26, 2019","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ubisoft Montpellier","Ubisoft®"
"3793","Hunting Simulator","Jun 9, 2017","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Nacon Studio Ghent","Nacon"
"3794","Dark SASI","May 18, 2018","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Narko Games","Narko Games"
"3796","Front Office Football Eight","Nov 23, 2016","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Solecismic Software","Solecismic Software"
"3797","Griefhelm","Aug 20, 2020","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Johnny Dale Lonack","Thorrnet Publishing"
"3802","Ski Sniper","May 18, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Crazy Rocks","Crazy Rocks"
"3804","Mahjong Club","Aug 29, 2018","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","PrinceXI","PrinceXI"
"3815","On a Roll","Aug 30, 2017","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Creative Concepts","Creative Concepts"
"3817","Cloudlands : VR Minigolf","Apr 5, 2016","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Futuretown","Futuretown"
"3818","Duck Life 7: Battle","Aug 13, 2018","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Wix Games, MAD.com","MoFunZone Inc"
"3819","Franchise Hockey Manager 6","Oct 11, 2019","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Out of the Park Developments, Minos Games","Out of the Park Developments"
"3824","AO International Tennis","May 8, 2018","$24.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Big Ant Studios","Big Ant Studios"
"3830","Mini Golf Arena","Apr 21, 2018","$8.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Evoluta Studio","Evoluta Studio"
"3831","Summer Funland","Feb 23, 2018","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Monad Rock","Monad Rock"
"3833","The Snowboard Game","Apr 24, 2018","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Let it roll AB","Let it roll AB"
"3834","Monster Jam Steel Titans 2","Mar 2, 2021","$29.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Rainbow Studios","THQ Nordic"
"3836","Poker Club","Nov 20, 2020","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ripstone","Ripstone"
"3837","Monster Jam Steel Titans","Jun 25, 2019","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Rainbow Studios","THQ Nordic"
"3841","Pumped BMX +","Sep 18, 2015","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Yeah Us!","Curve Games"
"3844","Tennis World Tour","Jun 12, 2018","$29.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Breakpoint","Nacon"
"3846","KunKun dream Startles the Soul","Jun 24, 2024","$1.49","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","AIKUN","AIKUN"
"3848","Intergalactic Fishing","Apr 21, 2020","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Boat Anchor Games","Boat Anchor Games"
"3849","Super Woden GP","Sep 1, 2021","$12.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","ViJuDa","ViJuDa"
"3852","Pool Panic","Jul 19, 2018","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Rekim","Rekim"
"3855","Pro Cycling Manager 2024","Jun 6, 2024","$39.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Cyanide Studio","Nacon"
"3857","Catch & Release","Jun 7, 2018","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","metricminds GmbH & Co KG","Advanced Interactive Gaming Ltd."
"3858","Safety First!","Sep 8, 2016","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","JCO","Headup"
"3860","First Person Tennis - The Real Tennis Simulator","Apr 11, 2019","$24.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Mikori Games","Mikori Games"
"3862","Rock Paper Scissors Champion","Feb 27, 2016","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Wholetone Games","Wholetone Games"
"3868","Sparc","Nov 16, 2017","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","CCP","CCP"
"3869","BMX The Game","Aug 28, 2020","$24.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Barspin Studios","Barspin Studios"
"3872","Disc Golf Valley","Jun 9, 2021","$4.99","N/A (N/A)","20,000 .. 50,000","00:11 (00:03)","Spinoff Games","Spinoff Games"
"3873","The Golf Club VR","Feb 24, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","HB Studios","HB Studios"
"3874","Monster Energy Supercross - The Official Videogame 5","Mar 17, 2022","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"3875","Spike Volleyball","Feb 5, 2019","$19.99","N/A (N/A)","20,000 .. 50,000","00:35 (00:11)","Black Sheep Studio","Nacon"
"3876","BAJA: Edge of Control HD","Sep 14, 2017","$29.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","2XL Games, Blitworks","THQ Nordic"
"3880","Wrestling Revolution 3D","Oct 1, 2014","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","MDickie","MDickie"
"3885","Fat Prisoner Simulator","Mar 12, 2019","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Kiddy","Kiddy"
"3892","Victory Heat Rally","Oct 3, 2024","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Skydevilpalm","Playtonic Friends"
"3896","Super Indie Karts","May 6, 2015","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","One Legged Seagull","One Legged Seagull"
"3902","Monster Energy Supercross - The Official Videogame 4","Mar 11, 2021","$29.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"3907","Full Ace Tennis Simulator","Feb 28, 2018","$24.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Galactic Gaming Guild","Whippering"
"3908","PowerBeatsVR - VR Fitness","Nov 18, 2020","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Five Mind Creations","Five Mind Creations"
"3910","TT Isle Of Man: Ride on the Edge 3","May 11, 2023","$49.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Nacon Studio Milan","Nacon"
"3911","Finnish Army Simulator","Jan 13, 2023","$29.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Please Be Patient","Please Be Patient"
"3912","Ultimate Racing 2D","May 24, 2018","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Applimazing","Applimazing"
"3914","AccuRC 2","Jun 12, 2017","$49.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","trasnatech","trasnatech"
"3918","MotoGP17","Jun 15, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"3919","Ultimate Fishing Simulator VR","Nov 15, 2019","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Bit Golem, Pancake Games, 3T Labs","Ultimate Games S.A."
"3920","Riptide GP2","Mar 7, 2014","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Vector Unit","Vector Unit"
"3921","Pro Cycling Manager 2021","Jun 3, 2021","$39.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Cyanide Studio","Nacon"
"3922","Tanuki Sunset","Dec 4, 2020","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Rewind Games","Rewind Games"
"3923","New Retro Arcade: Neon","Aug 1, 2016","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Digital Cybercherries","Digital Cybercherries"
"3928","Arizona Derby","Jul 22, 2019","$18.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Falcon Interactive","Falcon Interactive"
"3932","Stock Car Extreme","Feb 11, 2015","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Reiza Studios","Reiza Studios"
"3938","Dodgeball Academia","Aug 5, 2021","$24.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Pocket Trap","Humble Games"
"3943","Pacer","Oct 28, 2020","$39.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","R8 Games Ltd","R8 Games Ltd"
"3945","Hunting Simulator 2","Jul 16, 2020","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Nacon Studio Ghent","Nacon"
"3949","Sébastien Loeb Rally EVO","Jan 29, 2016","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"3950","Pro Cycling Manager 2022","Jun 9, 2022","$39.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Cyanide Studio","Nacon"
